DATE,SALES_REGION,REVENUE,COGS,FORECASTED_REVENUE
2024-01-01,Bogota,9456.72,118.26,2636.7
2024-01-01,Medellin,2001.17,2427.49,1078.47
2024-01-01,Cali,2377.24,2794.91,1783.86
2024-01-01,Barranquilla,765.82,73.71,9393.56
2024-01-01,Cartagena,887.19,2201.47,598.84
2024-01-02,Bogota,1393.2,4840.11,1384.24
2024-01-02,Medellin,4606.57,1913.75,356.68
2024-01-02,Cali,1020.62,620.68,7029.74
2024-01-02,Barranquilla,6141.34,1547.6,4293.92
2024-01-02,Cartagena,3990.16,422.79,3663.28
2024-01-03,Bogota,4008.33,2298.06,61.07
2024-01-03,Medellin,300.3,1562.07,5671.59
2024-01-03,Cali,8821.87,2326.3,3240.09
2024-01-03,Barranquilla,1947.88,1144.85,2993.35
2024-01-03,Cartagena,949.25,358.86,3628.51
2024-01-04,Bogota,2019.54,1325.19,2422.33
2024-01-04,Medellin,7723.04,1573.55,242.39
2024-01-04,Cali,3445.1,2746.69,5742.43
2024-01-04,Barranquilla,1208.29,811.79,4380.52
2024-01-04,Cartagena,1052.86,2515.6,1922.41
2024-01-05,Bogota,4153.14,507.73,698.95
2024-01-05,Medellin,356.77,2759.81,2.25
2024-01-05,Cali,1744.65,2441.0,1346.54
2024-01-05,Barranquilla,2498.9,238.81,1828.51
2024-01-05,Cartagena,5483.09,1711.98,10348.82
2024-01-06,Bogota,1741.43,174.07,936.71
2024-01-06,Medellin,6946.72,6568.41,610.91
2024-01-06,Cali,6749.82,782.6,3649.64
2024-01-06,Barranquilla,86.91,38.66,9130.18
2024-01-06,Cartagena,934.06,1322.84,2729.75
2024-01-07,Bogota,4757.86,130.76,2681.57
2024-01-07,Medellin,3077.08,1059.03,5438.77
2024-01-07,Cali,125.84,1321.19,3891.83
2024-01-07,Barranquilla,2001.53,1973.02,264.59
2024-01-07,Cartagena,4413.56,2208.6,1458.93
2024-01-08,Bogota,14068.13,693.52,272.12
2024-01-08,Medellin,680.74,829.35,1297.59
2024-01-08,Cali,486.74,6870.22,10347.33
2024-01-08,Barranquilla,1330.89,1065.78,1343.84
2024-01-08,Cartagena,2351.23,971.53,5749.09
2024-01-09,Bogota,10685.82,4914.82,2807.79
2024-01-09,Medellin,4379.11,392.79,501.15
2024-01-09,Cali,2537.51,1217.01,7245.6
2024-01-09,Barranquilla,51.25,1258.33,177.34
2024-01-09,Cartagena,1982.94,2569.72,7402.08
2024-01-10,Bogota,1061.0,533.0,314.55
2024-01-10,Medellin,2789.73,1854.84,6017.88
2024-01-10,Cali,3919.23,1034.37,1194.28
2024-01-10,Barranquilla,825.31,2492.37,4061.41
2024-01-10,Cartagena,5239.15,283.29,1305.13
2024-01-11,Bogota,812.42,2223.35,4308.45
2024-01-11,Medellin,3855.75,164.98,6239.45
2024-01-11,Cali,2101.62,2151.18,2430.85
2024-01-11,Barranquilla,4519.61,2509.3,1677.6
2024-01-11,Cartagena,6627.85,693.37,1636.9
2024-01-12,Bogota,270.98,1749.71,456.53
2024-01-12,Medellin,1475.88,5034.27,116.97
2024-01-12,Cali,11654.59,297.16,10664.47
2024-01-12,Barranquilla,7.08,1399.02,4206.75
2024-01-12,Cartagena,1880.42,70.62,1283.63
2024-01-13,Bogota,2357.13,563.6,6335.1
2024-01-13,Medellin,6465.05,207.51,3134.89
2024-01-13,Cali,1276.89,1049.17,1986.28
2024-01-13,Barranquilla,5573.18,1260.22,1363.22
2024-01-13,Cartagena,8.2,6199.71,1305.02
2024-01-14,Bogota,3939.16,3583.25,2540.75
2024-01-14,Medellin,2245.42,2254.67,11910.13
2024-01-14,Cali,9637.91,881.93,2603.66
2024-01-14,Barranquilla,3010.62,2285.63,106.74
2024-01-14,Cartagena,422.86,461.29,856.84
2024-01-15,Bogota,3570.74,300.48,494.34
2024-01-15,Medellin,38.57,1000.21,211.65
2024-01-15,Cali,1179.57,1014.89,2014.16
2024-01-15,Barranquilla,1998.77,3226.78,7758.87
2024-01-15,Cartagena,3922.71,7.71,473.11
2024-01-16,Bogota,948.42,1602.31,3938.32
2024-01-16,Medellin,277.63,776.04,289.4
2024-01-16,Cali,4405.84,2325.0,1282.7
2024-01-16,Barranquilla,24.93,1132.35,1543.09
2024-01-16,Cartagena,5214.47,377.73,2907.57
2024-01-17,Bogota,528.68,1042.73,3525.23
2024-01-17,Medellin,630.7,477.82,1025.73
2024-01-17,Cali,853.54,2635.01,2722.97
2024-01-17,Barranquilla,753.89,20.58,1513.95
2024-01-17,Cartagena,7435.37,837.67,2193.54
2024-01-18,Bogota,7587.46,2605.32,2256.92
2024-01-18,Medellin,845.73,776.14,406.68
2024-01-18,Cali,543.66,2056.79,2910.04
2024-01-18,Barranquilla,3870.25,1296.35,1096.52
2024-01-18,Cartagena,5479.1,4084.73,12461.0
2024-01-19,Bogota,3023.57,3254.97,3141.78
2024-01-19,Medellin,103.69,3433.86,5888.22
2024-01-19,Cali,5364.78,1166.81,1921.85
2024-01-19,Barranquilla,4624.83,494.31,1125.78
2024-01-19,Cartagena,4664.7,810.23,7362.57
2024-01-20,Bogota,532.19,1692.9,3359.94
2024-01-20,Medellin,167.03,2113.61,2580.97
2024-01-20,Cali,13542.57,3504.91,8945.93
2024-01-20,Barranquilla,1489.08,2814.38,1722.72
2024-01-20,Cartagena,2969.25,423.94,2119.12
2024-01-21,Bogota,969.04,2974.99,1159.84
2024-01-21,Medellin,6719.69,267.02,554.79
2024-01-21,Cali,6703.57,5454.27,3296.71
2024-01-21,Barranquilla,1252.89,2555.56,9907.6
2024-01-21,Cartagena,4140.99,259.14,4077.39
2024-01-22,Bogota,5560.15,3171.31,3120.9
2024-01-22,Medellin,2934.16,1986.22,5596.18
2024-01-22,Cali,3293.87,2178.68,3447.67
2024-01-22,Barranquilla,5273.3,1170.04,1349.75
2024-01-22,Cartagena,930.11,1624.9,4655.2
2024-01-23,Bogota,5920.71,669.79,336.53
2024-01-23,Medellin,385.21,1004.64,5215.24
2024-01-23,Cali,3269.55,1869.36,1808.93
2024-01-23,Barranquilla,2898.48,267.1,2006.35
2024-01-23,Cartagena,2140.84,2500.99,6507.01
2024-01-24,Bogota,919.33,1305.55,7178.06
2024-01-24,Medellin,2185.16,570.61,508.99
2024-01-24,Cali,7285.52,3597.6,1823.3
2024-01-24,Barranquilla,5139.59,2656.14,7757.61
2024-01-24,Cartagena,2275.69,1231.76,611.26
2024-01-25,Bogota,4999.79,1561.51,1394.83
2024-01-25,Medellin,2243.08,1977.69,1409.76
2024-01-25,Cali,66.0,502.34,5664.83
2024-01-25,Barranquilla,2025.5,195.76,244.11
2024-01-25,Cartagena,1848.37,1126.92,1948.56
2024-01-26,Bogota,199.01,822.54,1770.2
2024-01-26,Medellin,10296.49,972.69,242.44
2024-01-26,Cali,2481.44,1684.29,1953.19
2024-01-26,Barranquilla,1077.62,3248.58,2414.37
2024-01-26,Cartagena,2344.65,37.27,11256.82
2024-01-27,Bogota,4367.32,1024.51,3696.99
2024-01-27,Medellin,701.8,207.59,4768.97
2024-01-27,Cali,5973.71,3022.13,564.5
2024-01-27,Barranquilla,162.89,473.75,290.94
2024-01-27,Cartagena,227.81,815.07,1819.25
2024-01-28,Bogota,5762.28,183.76,1980.76
2024-01-28,Medellin,4491.72,610.89,7772.1
2024-01-28,Cali,7013.72,6.78,1917.06
2024-01-28,Barranquilla,279.85,1688.21,592.89
2024-01-28,Cartagena,1899.12,6295.15,5244.59
2024-01-29,Bogota,3485.01,1381.25,5264.36
2024-01-29,Medellin,1211.51,2950.96,514.37
2024-01-29,Cali,1042.62,310.77,4151.2
2024-01-29,Barranquilla,4917.03,1822.07,2987.34
2024-01-29,Cartagena,4562.31,2206.56,1533.24
2024-01-30,Bogota,3434.03,741.71,881.43
2024-01-30,Medellin,2482.56,213.54,1247.88
2024-01-30,Cali,7760.3,2384.89,10605.89
2024-01-30,Barranquilla,53.48,1296.68,151.38
2024-01-30,Cartagena,416.25,1116.06,745.76
2024-01-31,Bogota,1479.52,2992.71,3296.81
2024-01-31,Medellin,791.33,1119.88,5182.15
2024-01-31,Cali,834.01,576.42,2384.79
2024-01-31,Barranquilla,9432.07,2275.92,1241.25
2024-01-31,Cartagena,108.63,518.67,1447.94
2024-02-01,Bogota,129.55,774.34,2434.23
2024-02-01,Medellin,13505.75,560.65,2898.32
2024-02-01,Cali,861.32,261.33,8166.19
2024-02-01,Barranquilla,216.87,3873.03,2823.54
2024-02-01,Cartagena,3028.85,2888.6,1272.81
2024-02-02,Bogota,4132.47,524.58,1604.27
2024-02-02,Medellin,706.84,1401.38,4355.52
2024-02-02,Cali,5207.71,3528.63,7383.3
2024-02-02,Barranquilla,3877.85,681.54,705.87
2024-02-02,Cartagena,636.63,727.31,351.16
2024-02-03,Bogota,2525.95,1755.66,1436.7
2024-02-03,Medellin,11370.73,722.78,3076.15
2024-02-03,Cali,581.33,664.53,6227.46
2024-02-03,Barranquilla,282.29,1562.52,52.0
2024-02-03,Cartagena,924.04,1619.47,4377.9
2024-02-04,Bogota,1351.87,378.55,1538.42
2024-02-04,Medellin,1045.29,967.79,1826.07
2024-02-04,Cali,170.38,1633.03,2541.34
2024-02-04,Barranquilla,6686.24,1296.81,2758.1
2024-02-04,Cartagena,934.12,176.4,2299.63
2024-02-05,Bogota,2374.87,2138.29,225.38
2024-02-05,Medellin,501.31,7.12,427.2
2024-02-05,Cali,1777.97,1037.06,1675.79
2024-02-05,Barranquilla,1979.89,1285.27,1204.36
2024-02-05,Cartagena,9542.31,3300.99,14083.41
2024-02-06,Bogota,3961.72,2435.36,6021.9
2024-02-06,Medellin,7671.39,1454.23,3586.47
2024-02-06,Cali,2177.5,1713.99,3255.83
2024-02-06,Barranquilla,601.58,3080.11,210.39
2024-02-06,Cartagena,1708.77,760.91,4632.32
2024-02-07,Bogota,2833.05,1064.9,2746.64
2024-02-07,Medellin,2451.26,1500.26,2390.92
2024-02-07,Cali,7129.13,1816.52,4793.06
2024-02-07,Barranquilla,2823.0,1233.35,5035.22
2024-02-07,Cartagena,932.9,1174.85,804.9
2024-02-08,Bogota,8106.11,3602.4,1857.28
2024-02-08,Medellin,508.01,4324.91,9806.25
2024-02-08,Cali,1720.48,914.55,3654.51
2024-02-08,Barranquilla,5812.4,1473.87,5518.61
2024-02-08,Cartagena,3290.48,1134.12,412.98
2024-02-09,Bogota,3222.48,3042.23,1348.51
2024-02-09,Medellin,4894.25,420.53,6977.23
2024-02-09,Cali,2421.0,390.27,2854.19
2024-02-09,Barranquilla,2125.17,5760.75,4197.8
2024-02-09,Cartagena,4155.3,38.15,2422.25
2024-02-10,Bogota,1957.04,1456.5,1790.81
2024-02-10,Medellin,4061.61,2089.6,7196.86
2024-02-10,Cali,2653.9,1618.74,1369.53
2024-02-10,Barranquilla,4742.06,199.49,3179.81
2024-02-10,Cartagena,180.47,1308.58,535.77
2024-02-11,Bogota,9281.66,292.91,413.61
2024-02-11,Medellin,455.58,1378.59,769.47
2024-02-11,Cali,171.95,2363.87,1611.52
2024-02-11,Barranquilla,2179.8,1033.37,2374.72
2024-02-11,Cartagena,2281.33,1618.35,8467.8
2024-02-12,Bogota,8276.05,3402.85,3561.12
2024-02-12,Medellin,3349.04,430.63,4080.22
2024-02-12,Cali,1132.9,222.93,1927.44
2024-02-12,Barranquilla,2082.29,2759.32,4391.85
2024-02-12,Cartagena,2136.03,765.02,2052.98
2024-02-13,Bogota,3636.69,586.74,4046.49
2024-02-13,Medellin,2182.39,2625.95,3315.49
2024-02-13,Cali,1225.18,266.66,1589.94
2024-02-13,Barranquilla,2869.33,1361.87,377.16
2024-02-13,Cartagena,688.66,702.62,565.05
2024-02-14,Bogota,2728.74,1162.34,3288.9
2024-02-14,Medellin,471.56,631.26,291.89
2024-02-14,Cali,10748.08,480.6,2319.91
2024-02-14,Barranquilla,467.25,154.37,8816.75
2024-02-14,Cartagena,2252.04,4348.75,3359.49
2024-02-15,Bogota,4043.79,3344.87,7246.61
2024-02-15,Medellin,1275.41,1563.22,654.73
2024-02-15,Cali,382.4,1748.57,2024.07
2024-02-15,Barranquilla,7696.04,0.65,5263.94
2024-02-15,Cartagena,3308.74,77.39,828.98
2024-02-16,Bogota,363.35,1742.98,1190.62
2024-02-16,Medellin,1346.73,49.99,2932.52
2024-02-16,Cali,5289.21,1562.23,628.3
2024-02-16,Barranquilla,1140.47,1321.51,14.04
2024-02-16,Cartagena,3964.07,1202.83,7224.8
2024-02-17,Bogota,359.98,466.61,2307.26
2024-02-17,Medellin,2217.0,253.18,513.38
2024-02-17,Cali,1503.93,2134.4,5897.46
2024-02-17,Barranquilla,6923.2,1433.66,1740.71
2024-02-17,Cartagena,285.15,381.56,816.81
2024-02-18,Bogota,2030.44,382.97,211.95
2024-02-18,Medellin,1002.57,530.79,2009.93
2024-02-18,Cali,2545.65,28.03,8403.32
2024-02-18,Barranquilla,609.81,4086.0,836.03
2024-02-18,Cartagena,6965.81,896.74,2424.88
2024-02-19,Bogota,1367.17,1003.66,6988.85
2024-02-19,Medellin,1341.35,1127.87,3595.64
2024-02-19,Cali,3662.39,2377.46,330.17
2024-02-19,Barranquilla,5649.73,1440.72,3465.86
2024-02-19,Cartagena,1616.47,108.33,195.46
2024-02-20,Bogota,4052.43,861.68,5458.64
2024-02-20,Medellin,426.91,1109.11,945.06
2024-02-20,Cali,799.06,2305.76,1553.62
2024-02-20,Barranquilla,3243.71,2789.94,5071.23
2024-02-20,Cartagena,7179.86,9.42,1539.96
2024-02-21,Bogota,436.74,1633.26,668.1
2024-02-21,Medellin,505.58,54.02,10697.83
2024-02-21,Cali,12954.96,3228.33,735.37
2024-02-21,Barranquilla,335.15,491.05,484.4
2024-02-21,Cartagena,153.59,724.82,1590.0
2024-02-22,Bogota,5464.45,428.61,1465.95
2024-02-22,Medellin,1830.21,3270.04,9732.24
2024-02-22,Cali,2544.32,578.05,2074.48
2024-02-22,Barranquilla,6928.53,2190.44,4210.5
2024-02-22,Cartagena,3116.23,1534.22,3764.02
2024-02-23,Bogota,5785.9,1632.63,792.78
2024-02-23,Medellin,275.6,181.16,119.53
2024-02-23,Cali,2132.54,598.7,196.49
2024-02-23,Barranquilla,2214.14,1474.8,7583.94
2024-02-23,Cartagena,612.27,775.43,3028.68
2024-02-24,Bogota,9951.93,16.71,515.1
2024-02-24,Medellin,558.03,396.32,2171.62
2024-02-24,Cali,160.29,1562.67,2794.3
2024-02-24,Barranquilla,1405.93,1281.58,3119.52
2024-02-24,Cartagena,12.59,3073.56,2526.96
2024-02-25,Bogota,2118.69,2182.73,513.1
2024-02-25,Medellin,5975.34,1353.93,3927.44
2024-02-25,Cali,1793.86,170.52,142.53
2024-02-25,Barranquilla,752.01,390.97,4090.11
2024-02-25,Cartagena,973.2,2809.91,2141.82
2024-02-26,Bogota,7662.73,971.15,6791.37
2024-02-26,Medellin,3392.93,596.9,4080.88
2024-02-26,Cali,549.94,4802.22,4655.04
2024-02-26,Barranquilla,1944.83,1765.71,192.95
2024-02-26,Cartagena,2980.65,1750.75,163.48
2024-02-27,Bogota,2568.96,542.37,3358.12
2024-02-27,Medellin,5614.71,100.16,690.86
2024-02-27,Cali,23.05,4186.92,3306.24
2024-02-27,Barranquilla,1205.02,90.4,2441.7
2024-02-27,Cartagena,3121.18,1118.64,1671.6
2024-02-28,Bogota,3503.34,93.69,455.76
2024-02-28,Medellin,497.37,25.76,280.82
2024-02-28,Cali,871.76,17.84,1991.24
2024-02-28,Barranquilla,6327.5,5098.27,10660.02
2024-02-28,Cartagena,3463.14,1107.57,1054.33
2024-03-01,Bogota,2697.52,2292.31,1810.23
2024-03-01,Medellin,4480.84,379.06,3386.7
2024-03-01,Cali,2314.87,1664.19,2265.51
2024-03-01,Barranquilla,994.98,1819.85,83.87
2024-03-01,Cartagena,1956.05,412.08,3921.36
2024-03-02,Bogota,1034.85,508.11,3734.92
2024-03-02,Medellin,2352.17,1805.11,1364.48
2024-03-02,Cali,7885.42,710.17,1294.37
2024-03-02,Barranquilla,310.95,170.66,2688.07
2024-03-02,Cartagena,6.31,2578.33,2665.98
2024-03-03,Bogota,2543.16,1706.61,385.41
2024-03-03,Medellin,3886.93,1999.94,1022.96
2024-03-03,Cali,2752.29,1160.13,3189.42
2024-03-03,Barranquilla,282.95,629.67,2474.73
2024-03-03,Cartagena,1638.42,1142.38,3468.4
2024-03-04,Bogota,1942.26,3274.34,701.49
2024-03-04,Medellin,234.43,19.36,2929.34
2024-03-04,Cali,5048.41,418.99,6245.99
2024-03-04,Barranquilla,5260.25,393.25,6628.86
2024-03-04,Cartagena,4077.95,2735.71,377.07
2024-03-05,Bogota,4824.54,934.7,4289.47
2024-03-05,Medellin,4121.2,2201.67,3391.74
2024-03-05,Cali,168.27,1818.52,1478.94
2024-03-05,Barranquilla,1350.25,715.56,1249.57
2024-03-05,Cartagena,917.57,665.21,101.46
2024-03-06,Bogota,1400.43,84.15,2312.35
2024-03-06,Medellin,5076.92,1754.12,1704.27
2024-03-06,Cali,1957.15,367.71,2624.63
2024-03-06,Barranquilla,536.68,2973.2,5732.79
2024-03-06,Cartagena,2994.64,297.33,730.65
2024-03-07,Bogota,3587.23,1826.89,1348.77
2024-03-07,Medellin,2111.84,182.59,3247.54
2024-03-07,Cali,4765.08,1043.89,589.68
2024-03-07,Barranquilla,1069.55,247.29,4110.73
2024-03-07,Cartagena,2153.55,2835.11,5574.65
2024-03-08,Bogota,16.07,1132.5,490.82
2024-03-08,Medellin,3300.53,4500.27,504.05
2024-03-08,Cali,5049.79,180.85,4247.75
2024-03-08,Barranquilla,1895.91,2306.36,2984.85
2024-03-08,Cartagena,7947.63,1576.83,9588.39
2024-03-09,Bogota,1374.04,670.83,5458.76
2024-03-09,Medellin,687.42,24.74,2349.5
2024-03-09,Cali,1650.52,1824.07,239.9
2024-03-09,Barranquilla,4884.27,141.5,350.96
2024-03-09,Cartagena,2374.76,2267.18,2006.18
2024-03-10,Bogota,9292.42,2031.83,1247.73
2024-03-10,Medellin,1840.05,308.21,9848.44
2024-03-10,Cali,3330.74,4285.42,3765.43
2024-03-10,Barranquilla,3068.99,1997.11,1083.57
2024-03-10,Cartagena,847.25,1176.83,1516.77
2024-03-11,Bogota,5549.08,2030.72,466.67
2024-03-11,Medellin,286.29,966.08,1591.54
2024-03-11,Cali,3480.14,149.02,2126.68
2024-03-11,Barranquilla,797.03,1549.46,5690.3
2024-03-11,Cartagena,848.44,823.16,1049.39
2024-03-12,Bogota,11172.22,5226.51,3794.52
2024-03-12,Medellin,1389.09,88.69,420.06
2024-03-12,Cali,2098.31,237.12,7535.91
2024-03-12,Barranquilla,3130.94,3125.33,3304.54
2024-03-12,Cartagena,1974.03,904.58,2891.19
2024-03-13,Bogota,3834.47,383.37,634.2
2024-03-13,Medellin,78.15,669.79,4130.21
2024-03-13,Cali,3345.61,141.78,823.5
2024-03-13,Barranquilla,1161.87,1795.14,4892.59
2024-03-13,Cartagena,6266.41,4513.81,4616.37
2024-03-14,Bogota,2488.28,1290.27,8389.37
2024-03-14,Medellin,500.29,1569.49,4568.02
2024-03-14,Cali,1010.91,529.36,1358.77
2024-03-14,Barranquilla,11871.78,1883.13,2138.75
2024-03-14,Cartagena,3896.35,3769.66,2950.17
2024-03-15,Bogota,6335.62,86.68,1933.27
2024-03-15,Medellin,258.69,447.23,9996.21
2024-03-15,Cali,1212.05,5036.27,2478.61
2024-03-15,Barranquilla,8030.55,2984.1,865.79
2024-03-15,Cartagena,211.55,132.99,381.09
2024-03-16,Bogota,5086.89,1657.34,4069.01
2024-03-16,Medellin,389.13,2840.15,1159.76
2024-03-16,Cali,6073.94,2403.81,7195.13
2024-03-16,Barranquilla,5032.15,328.92,5583.21
2024-03-16,Cartagena,810.53,1169.93,461.66
2024-03-17,Bogota,2519.48,502.39,1049.01
2024-03-17,Medellin,3001.6,251.66,4430.87
2024-03-17,Cali,2452.77,2660.42,2288.09
2024-03-17,Barranquilla,1161.58,1112.62,2663.72
2024-03-17,Cartagena,1256.45,379.01,394.64
2024-03-18,Bogota,7601.72,2052.4,3822.48
2024-03-18,Medellin,1064.71,1559.31,1228.11
2024-03-18,Cali,2146.02,532.4,5206.01
2024-03-18,Barranquilla,421.73,2006.71,320.27
2024-03-18,Cartagena,1593.89,1106.42,3416.84
2024-03-19,Bogota,149.16,2912.69,1970.67
2024-03-19,Medellin,4638.37,327.2,576.5
2024-03-19,Cali,2005.73,1564.38,1903.57
2024-03-19,Barranquilla,1835.62,220.95,4601.9
2024-03-19,Cartagena,2573.09,1527.86,1817.6
2024-03-20,Bogota,1559.11,158.77,1125.66
2024-03-20,Medellin,2300.19,555.13,2022.94
2024-03-20,Cali,4602.12,1579.05,2397.43
2024-03-20,Barranquilla,1309.03,2493.68,2063.02
2024-03-20,Cartagena,3190.95,517.19,6382.89
2024-03-21,Bogota,3561.62,92.37,4099.34
2024-03-21,Medellin,618.7,2222.96,959.22
2024-03-21,Cali,1526.59,93.62,2137.21
2024-03-21,Barranquilla,3344.92,903.46,3953.63
2024-03-21,Cartagena,2135.45,1682.99,641.92
2024-03-22,Bogota,4113.87,297.5,175.87
2024-03-22,Medellin,859.8,1686.26,5194.59
2024-03-22,Cali,2079.37,2128.02,4928.84
2024-03-22,Barranquilla,5623.33,1992.7,1341.08
2024-03-22,Cartagena,503.46,86.14,1163.63
2024-03-23,Bogota,6023.1,1921.14,2911.7
2024-03-23,Medellin,1584.81,320.03,407.55
2024-03-23,Cali,1747.28,673.08,4443.45
2024-03-23,Barranquilla,2700.91,4947.52,4722.0
2024-03-23,Cartagena,2086.53,100.44,2002.06
2024-03-24,Bogota,2167.08,2040.04,566.31
2024-03-24,Medellin,258.32,826.15,6825.06
2024-03-24,Cali,174.01,32.81,615.19
2024-03-24,Barranquilla,382.43,1446.01,847.67
2024-03-24,Cartagena,7659.63,2009.0,1337.26
2024-03-25,Bogota,241.73,776.21,3994.57
2024-03-25,Medellin,1755.51,1991.65,3301.71
2024-03-25,Cali,3447.19,3062.38,1.12
2024-03-25,Barranquilla,4150.48,1065.8,10764.16
2024-03-25,Cartagena,7329.81,3153.76,130.48
2024-03-26,Bogota,9854.4,888.55,4282.66
2024-03-26,Medellin,1484.99,2751.36,3474.24
2024-03-26,Cali,509.09,2498.66,5540.58
2024-03-26,Barranquilla,1356.03,2090.2,756.5
2024-03-26,Cartagena,2461.5,873.02,397.69
2024-03-27,Bogota,1558.17,1343.28,362.65
2024-03-27,Medellin,764.92,499.74,7562.17
2024-03-27,Cali,4154.48,693.07,1106.23
2024-03-27,Barranquilla,4251.39,2438.62,1193.65
2024-03-27,Cartagena,1924.93,837.37,1701.43
2024-03-28,Bogota,2621.08,3583.58,1425.19
2024-03-28,Medellin,2052.52,2723.67,1048.58
2024-03-28,Cali,4340.63,1225.96,4080.27
2024-03-28,Barranquilla,6212.51,510.28,3122.93
2024-03-28,Cartagena,5.74,1071.66,4589.87
2024-03-29,Bogota,5776.08,491.74,2562.76
2024-03-29,Medellin,670.14,1122.93,4819.64
2024-03-29,Cali,809.31,69.05,93.34
2024-03-29,Barranquilla,728.27,2175.63,2035.01
2024-03-29,Cartagena,2955.61,1062.11,1216.49
2024-03-30,Bogota,5709.77,163.3,7714.16
2024-03-30,Medellin,843.21,865.53,1285.52
2024-03-30,Cali,2243.19,487.81,4651.45
2024-03-30,Barranquilla,11.68,2605.61,1556.33
2024-03-30,Cartagena,6951.61,2515.34,1324.95
2024-03-31,Bogota,2096.21,875.0,1934.46
2024-03-31,Medellin,673.97,2755.5,319.87
2024-03-31,Cali,8407.07,123.19,6680.79
2024-03-31,Barranquilla,1923.17,3393.89,10378.25
2024-03-31,Cartagena,6192.54,4238.94,83.42
2024-04-01,Bogota,300.72,148.6,2339.75
2024-04-01,Medellin,2670.59,2038.2,1832.25
2024-04-01,Cali,6869.79,952.42,5220.55
2024-04-01,Barranquilla,194.53,1617.86,2560.04
2024-04-01,Cartagena,3150.06,1132.76,1200.6
2024-04-02,Bogota,2585.23,178.14,6200.38
2024-04-02,Medellin,202.77,718.2,977.35
2024-04-02,Cali,2830.2,4820.23,1270.77
2024-04-02,Barranquilla,2526.45,124.82,1820.1
2024-04-02,Cartagena,8529.45,3128.51,4739.91
2024-04-03,Bogota,1452.78,1409.33,1415.07
2024-04-03,Medellin,4946.26,723.37,483.12
2024-04-03,Cali,495.48,1053.94,3332.21
2024-04-03,Barranquilla,1717.2,371.94,5456.36
2024-04-03,Cartagena,2706.26,1100.71,462.36
2024-04-04,Bogota,696.88,1178.2,3298.68
2024-04-04,Medellin,766.63,492.65,60.52
2024-04-04,Cali,979.3,162.02,3033.33
2024-04-04,Barranquilla,4724.08,2932.4,7730.65
2024-04-04,Cartagena,9996.38,4608.31,1541.92
2024-04-05,Bogota,1479.68,139.45,569.01
2024-04-05,Medellin,8638.22,110.16,2773.5
2024-04-05,Cali,1731.23,866.65,1332.32
2024-04-05,Barranquilla,606.93,5395.6,5802.02
2024-04-05,Cartagena,438.0,919.56,1664.85
